country,city,aqi,aqi_category,co_aqi,co_aqi_category,ozone_aqi,ozone_aqi_category,no2_aqi,no2_aqi_category,pm25_aqi,pm2.5_aqi_category
Russian Federation,Praskoveya,51,moderate,1,good,36,good,0,good,51,moderate
Brazil,Presidente Dutra,41,good,1,good,5,good,1,good,41,good
Italy,Priolo Gargallo,66,moderate,1,good,39,good,2,good,66,moderate
Poland,Przasnysz,34,good,1,good,34,good,0,good,20,good
France,Punaauia,22,good,0,good,22,good,0,good,6,good
United States of America,Punta Gorda,54,moderate,1,good,14,good,11,good,54,moderate
Germany,Puttlingen,62,moderate,1,good,35,good,3,good,62,moderate
Belgium,Puurs,64,moderate,1,good,29,good,7,good,64,moderate
Russian Federation,Pyatigorsk,54,moderate,1,good,41,good,1,good,54,moderate
Egypt,Qalyub,142,unhealthy for sensitive groups,3,good,89,moderate,9,good,142,unhealthy for sensitive groups
China,Qinzhou,68,moderate,2,good,68,moderate,1,good,58,moderate
Netherlands,Raalte,41,good,1,good,24,good,6,good,41,good
India,Radaur,158,unhealthy,3,good,139,unhealthy for sensitive groups,1,good,158,unhealthy
Pakistan,Radhan,158,unhealthy,1,good,50,good,1,good,158,unhealthy
Republic of North Macedonia,Radovis,83,moderate,1,good,46,good,0,good,83,moderate
France,Raismes,59,moderate,1,good,30,good,4,good,59,moderate
India,Rajgir,154,unhealthy,3,good,100,unhealthy for sensitive groups,2,good,154,unhealthy
Italy,Ramacca,55,moderate,1,good,47,good,0,good,55,moderate
United States of America,Phoenix,72,moderate,1,good,4,good,23,good,72,moderate
India,Phulabani,161,unhealthy,2,good,71,moderate,0,good,161,unhealthy
Poland,Piaseczno,28,good,1,good,28,good,2,good,28,good
India,Pimpri,118,unhealthy for sensitive groups,2,good,30,good,2,good,118,unhealthy for sensitive groups
Brazil,Pindobacu,33,good,0,good,10,good,1,good,33,good
China,Pingyin,150,unhealthy,3,good,95,moderate,6,good,150,unhealthy
Brazil,Pinheiral,154,unhealthy,5,good,0,good,13,good,154,unhealthy
India,Piravam,81,moderate,1,good,24,good,1,good,81,moderate
Colombia,Plato,67,moderate,1,good,16,good,2,good,67,moderate
Romania,Poiana Mare,62,moderate,1,good,37,good,1,good,62,moderate
Russian Federation,Polevskoy,31,good,1,good,31,good,0,good,17,good
France,Pontarlier,56,moderate,1,good,35,good,0,good,56,moderate
United States of America,Pontiac,77,moderate,2,good,22,good,15,good,77,moderate
Indonesia,Pontianak,44,good,1,good,15,good,0,good,44,good
Brazil,Porecatu,30,good,1,good,9,good,2,good,30,good
Finland,Pori,30,good,1,good,30,good,1,good,15,good
South Africa,Port Elizabeth,79,moderate,3,good,18,good,5,good,79,moderate
United States of America,Port Neches,34,good,1,good,19,good,7,good,34,good
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,moderate,1,good,20,good,5,good,51,moderate
United States of America,Portales,77,moderate,1,good,34,good,0,good,77,moderate
United States of America,Post Falls,61,moderate,1,good,32,good,3,good,61,moderate
Brazil,Pouso Alegre,32,good,1,good,7,good,2,good,32,good
China,Dalinghe,64,moderate,3,good,64,moderate,4,good,64,moderate
Russian Federation,Dalnegorsk,29,good,0,good,29,good,0,good,25,good
United Republic of Tanzania,Dar Es Salaam,51,moderate,1,good,23,good,0,good,51,moderate
India,Darbhanga,247,very unhealthy,3,good,162,unhealthy,1,good,247,very unhealthy
United States of America,Dayton,45,good,1,good,32,good,7,good,45,good
Belgium,Deinze,36,good,1,good,25,good,3,good,36,good
Egypt,Dekernes,81,moderate,2,good,81,moderate,4,good,56,moderate
Haiti,Delmas,124,unhealthy for sensitive groups,2,good,15,good,5,good,124,unhealthy for sensitive groups
United States of America,Deming,72,moderate,1,good,26,good,2,good,72,moderate
United Kingdom of Great Britain and Northern Ireland,Denton,55,moderate,0,good,32,good,1,good,55,moderate
United States of America,Destin,31,good,0,good,31,good,0,good,25,good
Pakistan,Dhadar,157,unhealthy,1,good,89,moderate,0,good,157,unhealthy
India,Dharmapuri,60,moderate,1,good,31,good,1,good,60,moderate
Pakistan,Digri,153,unhealthy,1,good,40,good,0,good,153,unhealthy
Somalia,Dinsor,22,good,0,good,19,good,0,good,22,good
Philippines,Dipolog,30,good,1,good,17,good,0,good,30,good
Latvia,Dobele,44,good,1,good,34,good,0,good,44,good
United States of America,Grandville,47,good,1,good,37,good,4,good,47,good
Netherlands,Grave,37,good,0,good,32,good,2,good,37,good
United States of America,Green Valley,44,good,1,good,14,good,8,good,44,good
United States of America,Greendale,58,moderate,2,good,14,good,24,good,58,moderate
Poland,Grudziadz,37,good,0,good,33,good,0,good,37,good
Colombia,Guamo,89,moderate,3,good,3,good,6,good,89,moderate
Italy,Guardiagrele,52,moderate,2,good,38,good,7,good,52,moderate
Chad,Guelengdeng,59,moderate,2,good,16,good,0,good,59,moderate
United Kingdom of Great Britain and Northern Ireland,Guildford,51,moderate,1,good,25,good,6,good,51,moderate
Philippines,Guiset,66,moderate,1,good,26,good,1,good,66,moderate
Russian Federation,Gukovo,38,good,1,good,38,good,0,good,13,good
United States of America,Havre De Grace,34,good,1,good,30,good,7,good,34,good
United States of America,Hazelwood,88,moderate,2,good,11,good,20,good,88,moderate
Germany,Heddesheim,54,moderate,1,good,31,good,3,good,54,moderate
Germany,Heiligenhaus,44,good,1,good,28,good,3,good,44,good
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,moderate,1,good,26,good,6,good,51,moderate
United States of America,Hicksville,67,moderate,2,good,15,good,23,good,67,moderate
